Dataset,Model,CV_F1,Test_Accuracy,Test_F1,Test_AUC
Original,LogisticRegression,0.42647019955068055,0.6229508196721312,0.6101694915254238,0.6908602150537635
Original,DecisionTree,0.5016800053354675,0.5573770491803278,0.4489795918367347,0.5349462365591398
Original,RandomForest,0.4656029563974404,0.639344262295082,0.56,0.6198924731182796
Original,SVM,0.5291373163511474,0.5081967213114754,0.5161290322580645,0.5376344086021505
Top_Features,LogisticRegression,0.4931671968893602,0.6065573770491803,0.5714285714285714,0.7279569892473119
Top_Features,DecisionTree,0.46443876101165105,0.5573770491803278,0.5423728813559322,0.6419354838709678
Top_Features,RandomForest,0.460949489707663,0.5737704918032787,0.5357142857142857,0.6602150537634409
Top_Features,SVM,0.466110250498887,0.6065573770491803,0.6,0.3698924731182796
